Pass;CWindow;SF;RMSE_SSD;RMSE_SSWE;R2_SSD;R2_SSWE;MAE_SSD;MAE_SSWE
All;(5, 5);75.0;43.34;126.82;0.53;0.08;42.69;126.08
All;(5, 5);76.0;43.48;127.21;0.53;0.08;42.83;126.48
All;(5, 5);77.0;43.62;127.6;0.53;0.08;42.97;126.88
All;(5, 5);78.0;43.76;127.97;0.53;0.08;43.1;127.26
All;(5, 5);79.0;43.89;128.33;0.53;0.08;43.23;127.63
All;(5, 5);80.0;44.02;128.69;0.53;0.08;43.36;127.99
All;(5, 5);81.0;44.14;129.03;0.53;0.08;43.48;128.35
All;(5, 5);82.0;44.26;129.37;0.53;0.08;43.6;128.69
All;(5, 5);83.0;44.38;129.7;0.53;0.08;43.71;129.03
All;(5, 5);84.0;44.5;130.02;0.53;0.08;43.83;129.36
All;(5, 5);85.0;44.61;130.34;0.53;0.08;43.94;129.68
All;(5, 5);86.0;44.72;130.65;0.53;0.08;44.05;129.99
All;(5, 5);87.0;44.83;130.95;0.53;0.08;44.16;130.3
All;(5, 5);88.0;44.93;131.24;0.53;0.08;44.26;130.6
All;(5, 5);89.0;45.04;131.53;0.53;0.08;44.36;130.89
All;(5, 5);90.0;45.14;131.81;0.53;0.08;44.46;131.18
All;(5, 5);91.0;45.24;132.09;0.53;0.08;44.56;131.46
All;(5, 5);92.0;45.34;132.36;0.53;0.08;44.65;131.73
All;(5, 5);93.0;45.43;132.62;0.53;0.08;44.75;132.0
All;(5, 5);94.0;45.52;132.88;0.53;0.08;44.84;132.26
All;(5, 5);95.0;45.61;133.13;0.53;0.08;44.93;132.52
All;(5, 5);96.0;45.7;133.38;0.53;0.08;45.01;132.77
All;(5, 5);97.0;45.79;133.62;0.53;0.08;45.1;133.02
All;(5, 5);98.0;45.88;133.86;0.53;0.08;45.18;133.26
All;(5, 5);99.0;45.96;134.09;0.53;0.08;45.26;133.5
All;(5, 5);100.0;46.04;134.32;0.53;0.08;45.34;133.73
